run_id,simulation_id,model,seed,scale_plume_factor,scale_mass_factor,plume_prior_mean,logm_prior_mean,plume_estimate,logm_estimate,best_posterior,runtime_sec,n_ens,n_assimilations,likelihood_sigma,print_every
639,0,es,20251763,0.5,0.6666666666666666,3750.0,24.229823734266393,5118.8848995082935,23.948796647297097,,,1000,1,0.6,1
640,0,es,20251764,0.5,0.6666666666666666,3750.0,24.229823734266393,6549.215819247929,24.565948978768105,,,1000,5,0.6,1
621,0,es,20251745,0.5,1.0,3750.0,24.635288842374557,5970.120890284842,24.09886147014201,,,100,1,0.6,1
622,0,es,20251746,0.5,1.0,3750.0,24.635288842374557,6450.706073838824,24.54973688816295,,,100,5,0.6,1
623,0,es,20251747,0.5,1.0,3750.0,24.635288842374557,5118.8848995082935,23.94585988566225,,,1000,1,0.6,1
624,0,es,20251748,0.5,1.0,3750.0,24.635288842374557,6547.208050179728,24.565772829934208,,,1000,5,0.6,1
605,0,es,20251729,0.5,1.5,3750.0,25.04075395048272,5970.120890284842,24.09660540493421,,,100,1,0.6,1
606,0,es,20251730,0.5,1.5,3750.0,25.04075395048272,6441.753604758865,24.55025636760689,,,100,5,0.6,1
607,0,es,20251731,0.5,1.5,3750.0,25.04075395048272,5118.8848995082935,23.942915942436738,,,1000,1,0.6,1
608,0,es,20251732,0.5,1.5,3750.0,25.04075395048272,6545.1272243379335,24.565599027374216,,,1000,5,0.6,1
589,0,es,20251713,0.5,2.0,3750.0,25.328436022934504,5970.120890284842,24.09497168176946,,,100,1,0.6,1
590,0,es,20251714,0.5,2.0,3750.0,25.328436022934504,6435.304824653486,24.55063788247711,,,100,5,0.6,1
591,0,es,20251715,0.5,2.0,3750.0,25.328436022934504,5118.8848995082935,23.94082156472559,,,1000,1,0.6,1
592,0,es,20251716,0.5,2.0,3750.0,25.328436022934504,6543.604907583012,24.565472056542266,,,1000,5,0.6,1
573,0,es,20251697,0.5,2.5,3750.0,25.551579574248713,5970.120890284842,24.093757340072973,,,100,1,0.6,1
574,0,es,20251698,0.5,2.5,3750.0,25.551579574248713,6429.784780216289,24.551010135994463,,,100,5,0.6,1
575,0,es,20251699,0.5,2.5,3750.0,25.551579574248713,5118.8848995082935,23.93919598434913,,,1000,1,0.6,1
576,0,es,20251700,0.5,2.5,3750.0,25.551579574248713,6542.413612735803,24.56537054343865,,,1000,5,0.6,1
557,0,es,20251681,0.6666666666666666,0.4,5000.0,23.7189981105004,7311.145316832384,24.30448508408357,,,100,1,0.6,1
558,0,es,20251682,0.6666666666666666,0.4,5000.0,23.7189981105004,6829.908852545224,24.573014693089657,,,100,5,0.6,1
559,0,es,20251683,0.6666666666666666,0.4,5000.0,23.7189981105004,6825.179866011057,24.152302727105504,,,1000,1,0.6,1
560,0,es,20251684,0.6666666666666666,0.4,5000.0,23.7189981105004,7404.354539586418,24.540669115718536,,,1000,5,0.6,1
541,0,es,20251665,0.6666666666666666,0.5,5000.0,23.942141661814613,7309.867487505374,24.303032016663977,,,100,1,0.6,1
542,0,es,20251666,0.6666666666666666,0.5,5000.0,23.942141661814613,6827.764223538491,24.573020619080733,,,100,5,0.6,1
543,0,es,20251667,0.6666666666666666,0.5,5000.0,23.942141661814613,6825.179866011057,24.15058216990308,,,1000,1,0.6,1
544,0,es,20251668,0.6666666666666666,0.5,5000.0,23.942141661814613,7402.739053239569,24.5405291617701,,,1000,5,0.6,1
525,0,es,20251649,0.6666666666666666,0.6666666666666666,5000.0,24.229823734266393,7308.2258093912305,24.30114287948733,,,100,1,0.6,1
526,0,es,20251650,0.6666666666666666,0.6666666666666666,5000.0,24.229823734266393,6825.010969520082,24.573020677490145,,,100,5,0.6,1
527,0,es,20251651,0.6666666666666666,0.6666666666666666,5000.0,24.229823734266393,6825.179866011057,24.148360496638222,,,1000,1,0.6,1
528,0,es,20251652,0.6666666666666666,0.6666666666666666,5000.0,24.229823734266393,7400.6330447090895,24.540346640245595,,,1000,5,0.6,1
509,0,es,20251633,0.6666666666666666,1.0,5000.0,24.635288842374557,7305.9832553733295,24.29840857169999,,,100,1,0.6,1
510,0,es,20251634,0.6666666666666666,1.0,5000.0,24.635288842374557,6821.303394036463,24.572991303039352,,,100,5,0.6,1
511,0,es,20251635,0.6666666666666666,1.0,5000.0,24.635288842374557,6825.179866011057,24.145209002031496,,,1000,1,0.6,1
512,0,es,20251636,0.6666666666666666,1.0,5000.0,24.635288842374557,7397.512343572675,24.540093845390885,,,1000,5,0.6,1
493,0,es,20251617,0.6666666666666666,1.5,5000.0,25.04075395048272,7303.715502286186,24.295639706426904,,,100,1,0.6,1
494,0,es,20251618,0.6666666666666666,1.5,5000.0,25.04075395048272,6817.580211111196,24.57295729443793,,,100,5,0.6,1
495,0,es,20251619,0.6666666666666666,1.5,5000.0,25.04075395048272,6825.179866011057,24.14205252636014,,,1000,1,0.6,1
496,0,es,20251620,0.6666666666666666,1.5,5000.0,25.04075395048272,7394.319882121525,24.53984567795911,,,1000,5,0.6,1
477,0,es,20251601,0.6666666666666666,2.0,5000.0,25.328436022934504,7302.101405180648,24.29364633416363,,,100,1,0.6,1
478,0,es,20251602,0.6666666666666666,2.0,5000.0,25.328436022934504,6814.737371086,24.57294319642085,,,100,5,0.6,1
479,0,es,20251603,0.6666666666666666,2.0,5000.0,25.328436022934504,6825.179866011057,24.139807243333095,,,1000,1,0.6,1
480,0,es,20251604,0.6666666666666666,2.0,5000.0,25.328436022934504,7392.022278410008,24.53966395750142,,,1000,5,0.6,1
461,0,es,20251585,0.6666666666666666,2.5,5000.0,25.551579574248713,7300.7782864045475,24.29211090423589,,,100,1,0.6,1
462,0,es,20251586,0.6666666666666666,2.5,5000.0,25.551579574248713,6812.032788524804,24.572975675217812,,,100,5,0.6,1
463,0,es,20251587,0.6666666666666666,2.5,5000.0,25.551579574248713,6825.179866011057,24.13806593055059,,,1000,1,0.6,1
464,0,es,20251588,0.6666666666666666,2.5,5000.0,25.551579574248713,7390.25979755327,24.539525222722123,,,1000,5,0.6,1
445,0,es,20251569,1.0,0.4,7500.0,23.7189981105004,7228.377044646825,24.575414842665925,,,100,1,0.6,1
446,0,es,20251570,1.0,0.4,7500.0,23.7189981105004,7292.777503108908,24.58601336841353,,,100,5,0.6,1
447,0,es,20251571,1.0,0.4,7500.0,23.7189981105004,8181.504507408863,24.478457467933975,,,1000,1,0.6,1
448,0,es,20251572,1.0,0.4,7500.0,23.7189981105004,8136.402066783861,24.56303775385276,,,1000,5,0.6,1
429,0,es,20251553,1.0,0.5,7500.0,23.942141661814613,7227.054520382638,24.573716916593185,,,100,1,0.6,1
